animal_tag,region,subregion,class_flex,animal_type,animal_subtype,production_role,diet_tag,cfi,ca,c,a,b,milk_yield_kg_year,fat_content_pct,wool_yield_kg_year,work_hours,pr_sheep_goat,c_pregnancy_cattle,pregnancy_rate
mature_dairy_cattle,spain,north,,cattle,dairy,mature,diet_dairy_mature_north,cattle_buffalo [lactating cows],stall,females,,,8295,3.73,0,0,0,cattle and buffalo,1
mature_dairy_cattle,spain,south,,cattle,dairy,mature,diet_dairy_mature_south,cattle_buffalo [lactating cows],stall,females,,,9044,3.73,0,0,0,cattle and buffalo,1
