animal_tag,region,subregion,class_flex,diet_tag,cfi,ca,c,a,b,milk_yield_kg_year,fat_content_pct,wool_yield_kg_year,work_hours,pr_sheep_goat,c_pregnancy_cattle,pregnancy_rate,animal_type,animal_subtype,production_role
mature_dairy_cattle,spain,north,lactation_phase,diet_dairy_mature_north_lactation_phase,cattle_buffalo [lactating cows],stall,females,NA,NA,8295,3.73,0,0,0,cattle and buffalo,1,cattle,dairy,mature
mature_dairy_cattle,spain,north,dry_phase,diet_dairy_mature_north_dry_phase,cattle_buffalo [lactating cows],stall,females,NA,NA,0,0,0,0,0,cattle and buffalo,1,cattle,dairy,mature
mature_dairy_cattle,spain,south,lactation_phase,diet_dairy_mature_south_lactation_phase,cattle_buffalo [lactating cows],stall,females,NA,NA,9044,3.73,0,0,0,cattle and buffalo,1,cattle,dairy,mature
mature_dairy_cattle,spain,south,dry_phase,diet_dairy_mature_south_dry_phase,cattle_buffalo [lactating cows],stall,females,NA,NA,0,0,0,0,0,cattle and buffalo,1,cattle,dairy,mature
