ingredient_type,ingredient,MS_pct,ASH_pct,CP_pct,EE_pct,NDF_pct,DE_pct,ED_kcalkg,swine_ME_kcal_kg,poultry_ME_kcal_kg
concentrate,camelina_meal_national,91.2,6.47,40.57,3.29,35.31,NA,4648.11,3125,1973.684211
concentrate,camelina_meal_expeller,92.5,6.16,36.65,14.7,27.14,NA,5241.91,3625.945946,2540.540541
concentrate,rapeseed_meal_00,91.2,4.39,20.83,44.63,18.64,NA,6758.57,5087.719298,4440.789474
concentrate,rapeseed_meal_00_33_cp,88.4,7.81,37.33,2.94,30.32,75,4520.95,2997.737557,1900.452489
concentrate,rapeseed_meal_00_36_cp,88.5,7.68,40.68,2.49,28.36,NA,4551.72,2988.700565,1960.451977
concentrate,rapeseed_meal_00_expeller_7_3_ee,89.2,7.85,34.98,8.18,30.16,NA,4777.38,3217.488789,2186.098655
concentrate,rapeseed_meal_00_expeller_12_7_ee,91.6,6.99,32.42,13.86,28.71,NA,5094.9,3493.449782,2521.834061
concentrate,coprah_meal,90.9,6.38,22.88,8.36,51.27,NA,4670.64,3190.319032,1837.183718
concentrate,coprah_expeller,91,6.92,23.52,2.75,54.62,NA,4342.32,2934.065934,1461.538462
concentrate,sunflower_seed,95.6,3.35,17.15,43.62,27.41,76.5,6692.57,4675.732218,4476.987448
concentrate,sunflower_seed_high_oileic,93.9,3.73,18,43.77,27.8,NA,6697,4664.536741,4440.894569
concentrate,sunflower_meal_28_cp,89.4,6.71,31.32,1.45,43.62,61.1,4395.76,2421.700224,1588.36689
concentrate,sunflower_meal_32_cp,89.9,6.9,35.6,1.33,39.15,61.1,4444.88,2575.083426,1735.261402
concentrate,sunflower_meal_36_cp,90.4,7.08,39.82,1.22,34.73,61.1,4494.1,2721.238938,1924.778761
concentrate,sunflower_meal_expeller_31_cp,94.5,7.41,32.8,9.63,36.93,NA,4845.24,2925.925926,2285.714286
concentrate,sunflower_meal_expeller_34_cp,94.8,7.38,35.86,8.97,34.49,61.1,4855.5,2995.780591,2357.594937
concentrate,field_pea_spring,89.3,3.14,24.08,1.12,13.55,NA,4425.76,3667.413214,2989.921613
concentrate,field_pea_heat_processed,88.1,3.18,23.38,1.59,13.73,90.3,4439.82,3734.392736,3110.102157
concentrate,horse_bean_white_flower_variety,88.3,3.28,30.01,1.7,15.06,89.8,4541.03,3601.359003,2944.507361
concentrate,horse_bean_white_flower_variety_dehulled,88.7,3.38,33.82,1.8,8.46,NA,4599.38,3703.494927,3269.447576
concentrate,lentils,88,2.95,27.73,1.48,10,NA,4509.03,3687.5,3011.363636
concentrate,linseed,90.7,5.29,24.26,38.26,18.74,NA,6413.7,4729.878721,3919.514884
concentrate,linseed_meal_expeller,91,6.15,34.62,8.35,25.49,NA,4856.3,3340.659341,1868.131868
concentrate,linseed_meal,89.5,6.7,37.99,3.13,25.25,NA,4590.33,3117.318436,1586.592179
concentrate,palm_kernel_expeller,91.6,4.8,17.03,8.3,64.19,NA,4649.05,2620.087336,1277.292576
concentrate,palm_kernel_expeller_2,90.2,4.99,18.07,2,70.73,NA,4303.49,2245.011086,853.6585366
concentrate,roasted_soybeans,90.8,5.62,40.75,22.03,12.44,NA,5737.65,4311.674009,3689.427313
concentrate,extruded_soybeans,90.8,5.62,40.75,22.03,12.44,NA,5737.65,4465.859031,3854.625551
concentrate,soybean_meal_44_cp,87.9,7.05,50.06,2.16,14.56,90.2,4701.66,3577.929465,2548.350398
concentrate,soybean_meal_45_5_cp,88.1,7.15,51.65,1.93,12.37,NA,4708.23,3586.833144,2587.968218
concentrate,soybean_meal_47_cp,88.2,7.14,53.29,1.93,10.77,90.7,4733.27,3639.455782,2664.399093
concentrate,soybean_meal_48_5_cp,88.2,7.14,54.99,1.93,9.3,NA,4758.77,3679.138322,2766.439909
concentrate,soybean_meal_micronized_51_cp,91.1,7.35,56.42,2.09,8.34,NA,4779.94,3715.697036,2777.167947
concentrate,common_vetch,90,3.89,29.44,1.89,15.89,NA,4516.28,3377.777778,2822.222222
concentrate,ervil_bitter_vetch,91.6,3.49,24.02,0.98,12.55,NA,4401.62,0,0
concentrate,soybean_protein_concentrates_extraction,93,6.56,69.89,1.08,9.14,NA,4960.19,3822.580645,3032.258065
concentrate,soybean_protein_concentrates_fermentation,92,7.28,58.48,1.63,9.78,NA,4788.16,3706.521739,2646.73913
concentrate,soybean_protein_isolates,93.4,3.43,93.15,0.54,0.54,NA,5416.57,4089.93576,3886.509636
concentrate,peas_protein_concentrate,92.5,5.41,55.68,2.27,9.41,NA,4864.28,3762.162162,3259.459459
concentrate,peas_protein_isolate,91.5,4.37,83.5,6.01,1.64,NA,5536.78,4109.289617,4180.327869
concentrate,potato_protein_isolate,92.5,2.59,85.41,2.16,3.24,NA,5428.15,4086.486486,3762.162162
concentrate,wheat_protein_hydrolyzed,91.4,4.27,71.77,6.56,9.63,NA,5396.03,4031.728665,3703.501094
concentrate,rice_protein_concentrate,92.5,1.08,84.32,4.65,2.16,NA,5617.68,4329.72973,4097.297297
concentrate,brewery_yeast,91.8,7.63,50.11,2.18,7.08,89.7,4678.01,3551.198257,2614.379085
concentrate,alfalfa_hay_dehydrated,90,10.89,22.22,2,38.89,NA,4106.14,2105.555556,1211.111111
concentrate,alfalfa_meal_17_5_cp,90.5,11.16,19.34,1.88,41.88,NA,4044.34,1988.950276,1104.972376
concentrate,alfalfa_meal_15_cp,91.1,11.42,16.47,1.76,46.76,NA,3983.13,1833.150384,987.9253568
concentrate,forage_meal_mix_12_5_cp,91.6,11.68,13.65,1.64,51.53,59.8,3922.67,1621.179039,807.860262
concentrate,cottonseed_hulls,91.4,3.28,6.89,3.39,84.9,NA,4288.87,513.1291028,#VALUE!
concentrate,rise_hulls,90.7,14.77,2.87,1.65,79.49,NA,3625.57,749.724366,374.862183
concentrate,oat_hulls,90,4.11,4.22,1.56,74.44,32.2,4109.82,1600,777.7777778
concentrate,sunflower_hulls,91.4,3.61,6.24,3.28,78.99,NA,4258.44,1072.210066,415.7549234
concentrate,horse_bean_hulls_low_in_tannins,89.6,2.79,10.6,0.78,65.74,NA,4219.92,1953.125,591.5178571
concentrate,soybean_hulls_10_cp,88.3,5.1,11.33,2.27,67.16,NA,4212.67,2366.930917,588.9014723
concentrate,soybean_hulls_12_cp,88.8,5.18,13.51,2.7,64.3,79.6,4265.93,2376.126126,653.1531532
concentrate,carob_bean,85,3.18,5.29,0.82,41.18,59,4125.35,2270.588235,0
concentrate,olive_leaves,91.3,11.94,9.2,5.48,47.1,NA,4059.52,909.0909091,0
concentrate,olive_pulp,93.2,8.91,10.3,17.38,38.2,NA,4875.74,2317.596567,0
concentrate,olive_pulp_partially_defatted,93.7,9.61,10.57,12.7,39.17,NA,4586.91,1942.369264,0
concentrate,extracted_olive_pulp,89.7,9.81,12.15,0.56,66.22,NA,3921.97,791.5273133,0
concentrate,grape_seed,91.8,3.16,10.13,12.09,72.98,NA,4829.95,1187.363834,0
concentrate,grape_seed_meal,88.6,5.08,12.53,1.13,77.43,NA,4167.71,869.0744921,0
concentrate,grape_marc,91.8,6.32,12.2,8.17,62.2,NA,4502.44,1209.150327,0
forage,straw_cereals_wheat_and_barley,91.4,7.55,5.03,0.98,77.79,44.65,3938.13,940.9190372,0
concentrate,straw_naoh_treated,91.8,9.91,3.92,1.63,76.47,NA,3854.04,1023.965142,0
concentrate,straw_lentils,90,11.22,6.67,1.11,66.67,NA,3808.53,1105.555556,0
concentrate,citrus_pulp_orange_tangerine,87.7,6.84,6.96,1.82,23.49,82.5,4045.36,3135.689852,1391.106043
concentrate,apple_pulp,89.2,2.24,6.17,4.48,52.47,NA,4384.87,0,0
concentrate,beet_pulp_4_ash,89.3,4.48,9.63,0.67,45.69,81,4124.85,3040.31355,716.6853303
concentrate,beet_pulp_7_5_ash,89.3,8.4,8.85,0.67,44.57,NA,3940.67,2911.534155,604.7032475
